"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"547285",,"288","Sao Bernardo do Campo (Terminal Metropolitano Ferrazopolis) / Sao Paulo (Terminal Metropolitano Jabaquara)",,"3",,,
"547309",,"182","Sao Bernardo do Campo (Acampamento dos Engenheiros) / Diadema (Terminal Metropolitano Diadema)",,"3",,,
"547391",,"038","Mogi das Cruzes (Estacao Cptm Estudantes) / Sao Paulo (Metro Armenia)",,"3",,,
"547416",,"075VP1","Aruja (Parque Rodrigo Barreto) / Sao Paulo (Sao Miguel Paulista)",,"3",,,
"547425",,"088","Poa (Terminal Rodoviario Pedro Fava - Cidade Kemel) / Sao Paulo (Estacao Cptm  Itaim Paulista)",,"3",,,
"548046",,"043BI1","Sao Caetano do Sul (Terminal Rodoviario Nicolau Delic) / Santo Andre (Represa)",,"3",,,
"549290",,"154","Sao Bernardo do Campo (Jardim Nazareth) / Sao Paulo (Terminal Sacoma)",,"3",,,
"549316",,"112","Diadema (Terminal Metropolitano Piraporinha) / Sao Paulo (Santo Amaro)",,"3",,,
"550065",,"070","Santo Andre (Terminal Metropolitano Santo Andre Leste) / Sao Paulo (Fabrica Trol)",,"3",,,
"550117",,"107","Santo Andre (Terminal Metropolitano Santo Andre-Leste) / Sao Paulo (Jardim Esther)",,"3",,,
"550181",,"218EX2","Sao Bernardo do Campo (Terminal Metropolitano Ferrazopolis) / Sao Paulo (Glicerio)",,"3",,,
"550187",,"027EX1","SANTO ANDRE (HOSPITAL MARIO COVAS)     - RUA MACAUBA, 126 / SAO PAULO (JD TIETE)   -   RUA NAZARENO OPOSTO Nº 75",,"3",,,
"550242",,"286","Santo Andre (Terminal Metropolitano Santo Andre Oeste) / Sao Bernardo do Campo (Terminal Metropolitano Ferrazopolis)",,"3",,,
"551069",,"173","Santo Andre (Jardim Santa Cristina) / Sao Paulo (Jardim Planalto)",,"3",,,
"551202",,"314","Sao Bernardo do Campo (Jardim Las Palmas) / Sao Paulo (Terminal Rodoviario Tiete)",,"3",,,
"551212",,"265","Santo Andre (Terminal Metropolitano Santo Andre - Leste) / Sp (Conjunto Habitacional Teotonio Vilela)",,"3",,,
"551254",,"285","Sao Paulo (Terminal Metropolitano Sao Mateus) / Sao Bernardo do Campo  (Terminal Metropolitano Ferrazopolis)",,"3",,,
"551383",,"039","Suzano (Cidade Edson) / Mogi das Cruzes (Estacao Cptm Estudantes)",,"3",,,
